Frequency (Hz)	Level (dB)
283.203125	-64.299568
284.179688	-65.740479
285.156250	-64.464828
286.132812	-65.689644
287.109375	-64.507858
288.085938	-63.184364
289.062500	-63.247620
290.039062	-64.806244
291.015625	-65.967110
291.992188	-63.818382
292.968750	-62.840946
293.945312	-64.275803
294.921875	-65.298073
295.898438	-64.141174
296.875000	-64.446472
297.851562	-68.023308
298.828125	-65.872948
299.804688	-66.536377
300.781250	-67.006538
301.757812	-67.673294
302.734375	-65.768433
303.710938	-66.825539
304.687500	-66.649216
305.664062	-66.373825
306.640625	-66.568169
307.617188	-67.528145
308.593750	-68.590965
309.570312	-66.901108
310.546875	-68.469124
311.523438	-68.994370
312.500000	-67.373672
313.476562	-68.286369
314.453125	-69.188751
315.429688	-68.330956
316.406250	-71.338539
317.382812	-69.984734
318.359375	-69.459938
319.335938	-72.652122
320.312500	-72.295547
321.289062	-72.807587
322.265625	-70.418007
323.242188	-72.351257
324.218750	-71.129929
325.195312	-72.261246
326.171875	-72.374313
327.148438	-71.936378
328.125000	-73.325233
329.101562	-71.482445
330.078125	-72.028641
331.054688	-73.098305
332.031250	-72.687988
333.007812	-71.923973
333.984375	-72.274895
334.960938	-73.685158
335.937500	-73.337181
336.914062	-73.963493
337.890625	-74.296196
338.867188	-73.632957
339.843750	-75.016731
340.820312	-74.092117
341.796875	-74.727936
342.773438	-74.462479
343.750000	-73.598419
344.726562	-75.625999
345.703125	-75.042976
346.679688	-74.626122
347.656250	-75.627815
348.632812	-75.163780
349.609375	-75.295891
350.585938	-76.437561
351.562500	-73.045563
352.539062	-74.412079
353.515625	-75.160896
354.492188	-74.588623
355.468750	-75.279907
356.445312	-75.491302
357.421875	-75.469696
358.398438	-76.781326
359.375000	-76.240143
360.351562	-76.454613
361.328125	-76.772194
362.304688	-75.984489
363.281250	-76.620384
364.257812	-76.835564
365.234375	-76.890152
366.210938	-78.435150
367.187500	-76.464645
368.164062	-78.345589
369.140625	-75.686188
370.117188	-77.411049
371.093750	-77.587265
372.070312	-77.343399
373.046875	-76.329445
374.023438	-76.464577
375.000000	-77.021568
375.976562	-77.848495
376.953125	-77.512054
377.929688	-78.674713
378.906250	-77.329025
379.882812	-76.282265
380.859375	-78.041786
381.835938	-78.100883
382.812500	-77.604813
383.789062	-78.082352
384.765625	-77.912971
