Frequency (Hz)	Level (dB)
283.203125	-76.429993
284.179688	-76.799438
285.156250	-78.107597
286.132812	-77.551147
287.109375	-77.480423
288.085938	-76.547340
289.062500	-75.976028
290.039062	-77.562828
291.015625	-78.795738
291.992188	-78.919510
292.968750	-78.735474
293.945312	-78.218613
294.921875	-77.997574
295.898438	-78.695007
296.875000	-78.379379
297.851562	-77.962807
298.828125	-76.899940
299.804688	-77.930595
300.781250	-78.663193
301.757812	-78.448692
302.734375	-76.758209
303.710938	-77.425972
304.687500	-78.003967
305.664062	-78.644043
306.640625	-78.927231
307.617188	-78.793678
308.593750	-77.975250
309.570312	-78.885506
310.546875	-78.635078
311.523438	-78.886078
312.500000	-77.796265
313.476562	-78.454720
314.453125	-78.767418
315.429688	-78.093643
316.406250	-77.478958
317.382812	-78.757011
318.359375	-78.325729
319.335938	-78.102074
320.312500	-78.581856
321.289062	-79.206696
322.265625	-78.961601
323.242188	-78.588387
324.218750	-79.522423
325.195312	-78.714767
326.171875	-78.956703
327.148438	-79.287895
328.125000	-77.564140
329.101562	-79.898384
330.078125	-79.406334
331.054688	-79.218277
332.031250	-78.034081
333.007812	-78.673668
333.984375	-78.449310
334.960938	-79.704346
335.937500	-78.695000
336.914062	-79.594208
337.890625	-77.805351
338.867188	-78.048973
339.843750	-78.498283
340.820312	-78.667397
341.796875	-78.790367
342.773438	-78.605576
343.750000	-77.548950
344.726562	-77.748810
345.703125	-78.011536
346.679688	-78.305328
347.656250	-77.280266
348.632812	-78.386818
349.609375	-78.224281
350.585938	-77.590019
351.562500	-77.751801
352.539062	-79.101151
353.515625	-78.437302
354.492188	-79.254654
355.468750	-77.889488
356.445312	-78.266830
357.421875	-77.525230
358.398438	-78.138855
359.375000	-78.094063
360.351562	-78.997681
361.328125	-78.430748
362.304688	-77.858795
363.281250	-77.681854
364.257812	-77.329361
365.234375	-77.701790
366.210938	-78.310181
367.187500	-76.970963
368.164062	-77.038483
369.140625	-78.420158
370.117188	-77.774689
371.093750	-77.225151
372.070312	-76.463638
373.046875	-76.963669
374.023438	-76.732422
375.000000	-77.655205
375.976562	-76.375801
376.953125	-78.554634
377.929688	-77.295135
378.906250	-77.321381
379.882812	-76.150230
380.859375	-77.224098
381.835938	-77.860809
382.812500	-77.946220
383.789062	-76.399254
384.765625	-76.605049
385.742188	-77.619087
386.718750	-77.609917
387.695312	-75.551888
388.671875	-76.864738
389.648438	-76.762054
390.625000	-75.468552
391.601562	-77.070129
392.578125	-75.869827
393.554688	-75.002663
394.531250	-75.670013
395.507812	-74.782967
396.484375	-74.935738
397.460938	-75.171257
398.437500	-74.840034
399.414062	-74.475266
400.390625	-74.783981
401.367188	-74.816788
402.343750	-75.426689
403.320312	-75.085907
404.296875	-73.202576
405.273438	-74.151581
406.250000	-74.502060
407.226562	-73.744690
408.203125	-73.117043
409.179688	-73.215317
410.156250	-74.328445
411.132812	-73.034126
412.109375	-72.496223
413.085938	-72.961258
414.062500	-71.693588
415.039062	-73.111549
416.015625	-71.612213
416.992188	-72.443108
417.968750	-71.252823
418.945312	-71.196266
419.921875	-72.262405
420.898438	-70.467644
421.875000	-70.343369
422.851562	-69.473740
423.828125	-70.171188
424.804688	-69.010307
425.781250	-68.429512
426.757812	-69.629074
427.734375	-69.368439
428.710938	-69.273933
429.687500	-68.242332
430.664062	-69.033195
431.640625	-67.180588
432.617188	-67.783539
433.593750	-66.506920
434.570312	-65.883156
435.546875	-67.227570
436.523438	-66.211761
437.500000	-64.272423
438.476562	-65.614166
439.453125	-65.206703
440.429688	-65.887207
441.406250	-63.967880
442.382812	-64.080276
443.359375	-64.873238
444.335938	-64.313164
445.312500	-63.160839
446.289062	-63.796768
447.265625	-63.308178
448.242188	-62.954250
449.218750	-64.033539
450.195312	-63.522659
451.171875	-63.830116
452.148438	-63.852695
453.125000	-64.363220
454.101562	-64.099327
455.078125	-64.566093
456.054688	-64.508705
457.031250	-65.333130
458.007812	-66.134850
458.984375	-66.914871
459.960938	-66.446831
460.937500	-66.310921
461.914062	-66.431778
462.890625	-66.997688
463.867188	-67.983162
464.843750	-67.702568
465.820312	-67.637138
466.796875	-68.112297
467.773438	-68.664154
468.750000	-69.256332
469.726562	-69.258698
470.703125	-68.874382
471.679688	-69.958252
472.656250	-69.580185
473.632812	-71.936722
474.609375	-69.779251
475.585938	-71.613945
476.562500	-71.025406
477.539062	-71.542099
478.515625	-71.829903
479.492188	-71.404694
480.468750	-72.839973
481.445312	-72.355888
482.421875	-71.571228
483.398438	-71.288361
484.375000	-71.548584
485.351562	-73.895615
486.328125	-73.650536
487.304688	-73.486877
488.281250	-72.648415
489.257812	-72.795235
490.234375	-73.916290
491.210938	-73.188736
492.187500	-73.311302
493.164062	-74.444687
494.140625	-73.883324
495.117188	-73.143379
496.093750	-73.742249
497.070312	-75.268013
498.046875	-74.769760
499.023438	-74.385994
500.000000	-74.346451
500.976562	-73.086342
501.953125	-75.611931
502.929688	-76.013206
503.906250	-74.585114
504.882812	-75.233818
505.859375	-75.718506
506.835938	-74.373314
507.812500	-74.286179
508.789062	-76.053947
509.765625	-74.962013
510.742188	-74.379723
511.718750	-76.764984
512.695312	-77.032608
513.671875	-76.712280
514.648438	-76.810471
515.625000	-76.036964
516.601562	-74.931107
517.578125	-76.448898
518.554688	-76.199181
519.531250	-75.435806
520.507812	-76.166115
521.484375	-75.964981
522.460938	-77.634521
523.437500	-76.781876
524.414062	-76.529655
525.390625	-76.710693
526.367188	-76.764603
527.343750	-76.007149
528.320312	-75.637169
529.296875	-75.653328
530.273438	-77.665535
531.250000	-76.770851
532.226562	-76.679909
533.203125	-76.065979
534.179688	-76.891960
535.156250	-76.595009
536.132812	-77.631935
537.109375	-76.483345
538.085938	-77.736084
539.062500	-78.421860
540.039062	-77.079285
541.015625	-76.487869
541.992188	-77.374855
542.968750	-77.912621
543.945312	-77.764114
544.921875	-77.731956
545.898438	-77.049919
546.875000	-77.269386
547.851562	-77.194901
548.828125	-76.675179
549.804688	-77.972809
550.781250	-79.033867
551.757812	-78.354576
552.734375	-77.980423
553.710938	-77.118515
554.687500	-77.541801
555.664062	-78.146187
556.640625	-77.518639
557.617188	-78.479645
558.593750	-77.948845
559.570312	-77.436073
560.546875	-77.811035
561.523438	-77.681992
562.500000	-76.562805
563.476562	-77.609100
564.453125	-77.811417
565.429688	-77.763672
566.406250	-78.258728
567.382812	-76.707115
568.359375	-78.578888
569.335938	-78.043617
570.312500	-78.071327
571.289062	-76.931541
572.265625	-77.371040
573.242188	-77.322250
574.218750	-77.128418
575.195312	-78.468498
576.171875	-77.244774
577.148438	-76.215012
578.125000	-76.738945
579.101562	-77.797386
580.078125	-76.440529
581.054688	-76.490700
582.031250	-78.108818
583.007812	-75.690735
583.984375	-76.553024
584.960938	-76.904648
585.937500	-76.347374
586.914062	-75.070702
587.890625	-75.691727
588.867188	-75.489677
589.843750	-76.344749
590.820312	-76.634987
591.796875	-76.278931
592.773438	-76.151253
593.750000	-76.835892
594.726562	-75.725700
595.703125	-76.805313
596.679688	-75.922691
597.656250	-76.580200
598.632812	-76.734924
599.609375	-74.978180
600.585938	-75.635170
601.562500	-76.227974
602.539062	-74.625000
603.515625	-76.186684
604.492188	-75.756752
605.468750	-75.106201
606.445312	-75.124031
607.421875	-74.661003
608.398438	-76.381927
609.375000	-73.832703
610.351562	-74.945480
611.328125	-75.387749
612.304688	-75.837761
613.281250	-73.824417
614.257812	-73.840477
615.234375	-75.680969
616.210938	-74.005287
617.187500	-73.752686
618.164062	-74.377205
619.140625	-74.187622
620.117188	-73.901253
621.093750	-74.804916
622.070312	-73.006317
623.046875	-74.255638
624.023438	-73.431274
625.000000	-72.395981
625.976562	-73.878822
626.953125	-73.859375
627.929688	-72.645897
628.906250	-71.997131
629.882812	-73.022316
630.859375	-71.389900
631.835938	-72.330803
632.812500	-72.099815
633.789062	-72.014664
634.765625	-70.164230
635.742188	-71.522751
636.718750	-71.062698
637.695312	-71.194313
638.671875	-71.832481
639.648438	-70.564148
640.625000	-70.285583
641.601562	-70.245674
642.578125	-69.903526
643.554688	-69.079071
644.531250	-70.307961
645.507812	-69.245216
646.484375	-69.448204
647.460938	-68.042397
648.437500	-68.859055
649.414062	-68.075089
650.390625	-67.571136
651.367188	-66.769295
652.343750	-67.094368
653.320312	-67.204575
654.296875	-65.643112
655.273438	-66.744377
656.250000	-65.509125
657.226562	-65.582176
658.203125	-65.027054
659.179688	-64.292473
660.156250	-64.461143
661.132812	-65.424408
662.109375	-64.525620
663.085938	-64.184395
664.062500	-63.575714
665.039062	-63.836971
666.015625	-64.269524
666.992188	-63.267551
667.968750	-61.837337
668.945312	-63.520409
669.921875	-61.869434
670.898438	-62.221832
671.875000	-62.764740
672.851562	-61.079796
673.828125	-61.570435
674.804688	-62.138329
675.781250	-62.139133
676.757812	-63.630970
677.734375	-62.381138
678.710938	-63.626495
679.687500	-63.128605
680.664062	-63.729485
681.640625	-62.830929
682.617188	-64.311279
683.593750	-64.085503
684.570312	-66.013481
685.546875	-65.130310
686.523438	-64.957161
687.500000	-66.301292
688.476562	-65.476768
689.453125	-66.557945
690.429688	-67.367500
691.406250	-65.962090
692.382812	-66.331902
693.359375	-68.804817
694.335938	-67.104454
695.312500	-68.080750
696.289062	-67.881569
697.265625	-67.925285
698.242188	-68.251282
699.218750	-68.863205
700.195312	-70.624001
701.171875	-68.946518
702.148438	-69.648033
703.125000	-69.243805
704.101562	-71.449051
705.078125	-71.884712
706.054688	-71.317863
707.031250	-71.007011
708.007812	-70.682632
708.984375	-70.278893
709.960938	-71.828514
710.937500	-71.584755
711.914062	-72.758858
712.890625	-70.972336
713.867188	-70.956978
