Frequency (Hz)	Level (dB)
283.203125	-68.243767
284.179688	-68.218475
285.156250	-69.475914
286.132812	-69.021858
287.109375	-68.504929
288.085938	-67.370934
289.062500	-66.345604
290.039062	-67.680908
291.015625	-68.714073
291.992188	-68.715706
292.968750	-68.393356
293.945312	-67.874443
294.921875	-68.161980
295.898438	-68.907967
296.875000	-68.286560
297.851562	-67.832825
298.828125	-67.549484
299.804688	-68.825134
300.781250	-69.410599
301.757812	-69.465973
302.734375	-68.045059
303.710938	-68.811142
304.687500	-69.772003
305.664062	-70.179138
306.640625	-70.718216
307.617188	-71.170540
308.593750	-70.078362
309.570312	-71.162537
310.546875	-71.161514
311.523438	-71.893814
312.500000	-71.119705
313.476562	-71.810997
314.453125	-72.189445
315.429688	-71.603363
316.406250	-71.635109
317.382812	-73.009003
318.359375	-72.958542
319.335938	-73.075592
320.312500	-72.890358
321.289062	-74.117607
322.265625	-74.314926
323.242188	-73.974533
324.218750	-75.274948
325.195312	-74.877686
326.171875	-75.037773
327.148438	-75.807861
328.125000	-74.035889
329.101562	-76.665001
330.078125	-76.039986
331.054688	-76.451904
332.031250	-74.874481
333.007812	-76.333321
333.984375	-76.043228
334.960938	-76.743111
335.937500	-76.325035
336.914062	-77.816032
337.890625	-75.963379
338.867188	-75.932678
339.843750	-76.959793
340.820312	-77.328018
341.796875	-78.246017
342.773438	-77.714211
343.750000	-76.581596
344.726562	-76.461754
345.703125	-77.378922
346.679688	-77.708855
347.656250	-76.920280
348.632812	-78.123108
349.609375	-78.173347
350.585938	-77.913727
351.562500	-77.986473
352.539062	-79.301727
353.515625	-78.908691
354.492188	-79.909111
355.468750	-78.676270
356.445312	-78.949814
357.421875	-78.091957
358.398438	-78.699600
359.375000	-78.846703
360.351562	-80.297295
361.328125	-79.773903
362.304688	-79.101334
363.281250	-79.615051
364.257812	-79.509766
365.234375	-79.727089
366.210938	-80.375244
367.187500	-79.365196
368.164062	-79.359985
369.140625	-80.617485
370.117188	-80.199356
371.093750	-80.000938
372.070312	-79.615341
373.046875	-79.962624
374.023438	-80.101082
375.000000	-80.836800
375.976562	-79.521873
376.953125	-82.418236
377.929688	-80.513649
378.906250	-81.108162
379.882812	-80.139984
380.859375	-81.245689
381.835938	-81.991066
382.812500	-82.771729
383.789062	-80.818405
384.765625	-80.928978
385.742188	-82.337814
386.718750	-82.198837
387.695312	-80.595726
388.671875	-81.732811
389.648438	-82.092720
390.625000	-81.132423
391.601562	-82.947273
392.578125	-81.696236
393.554688	-81.047112
394.531250	-81.624893
395.507812	-81.285469
396.484375	-81.328377
397.460938	-81.538567
398.437500	-81.161942
399.414062	-81.622795
400.390625	-81.980209
401.367188	-81.831856
402.343750	-82.930748
403.320312	-82.266670
404.296875	-80.912033
405.273438	-82.009453
406.250000	-83.161842
407.226562	-82.098686
408.203125	-81.901794
409.179688	-81.812508
410.156250	-83.104416
411.132812	-81.982796
412.109375	-81.648094
413.085938	-82.346207
414.062500	-81.565300
415.039062	-82.613701
416.015625	-81.622856
416.992188	-82.917267
417.968750	-82.011658
418.945312	-82.454399
419.921875	-83.780014
420.898438	-81.774269
421.875000	-82.018929
422.851562	-81.191017
423.828125	-82.759499
424.804688	-81.098747
425.781250	-81.222519
426.757812	-82.738892
427.734375	-82.672043
428.710938	-82.908813
429.687500	-82.413239
430.664062	-83.518250
431.640625	-81.583359
432.617188	-82.696991
433.593750	-81.718567
434.570312	-81.641342
435.546875	-82.969238
436.523438	-82.471954
437.500000	-81.071770
438.476562	-82.684341
439.453125	-82.341660
440.429688	-83.379608
441.406250	-81.920525
442.382812	-81.688591
443.359375	-82.471527
444.335938	-82.354996
445.312500	-81.446320
446.289062	-81.849655
447.265625	-81.222618
448.242188	-80.951317
449.218750	-82.510025
450.195312	-81.993919
451.171875	-81.710838
452.148438	-81.499779
453.125000	-81.387505
454.101562	-81.108330
455.078125	-81.203163
456.054688	-81.321236
457.031250	-81.765282
458.007812	-82.155571
458.984375	-82.642906
459.960938	-81.831123
460.937500	-81.305107
461.914062	-81.178802
462.890625	-81.102852
463.867188	-81.445465
464.843750	-81.514809
465.820312	-80.698494
466.796875	-81.155907
467.773438	-81.305595
468.750000	-81.493736
469.726562	-81.057304
470.703125	-80.852005
471.679688	-81.299889
472.656250	-81.001289
473.632812	-82.611328
474.609375	-80.459702
475.585938	-81.791420
476.562500	-81.319443
477.539062	-81.098366
478.515625	-81.981720
479.492188	-80.791977
480.468750	-82.139099
481.445312	-81.121780
482.421875	-80.368576
483.398438	-79.568092
484.375000	-79.637466
485.351562	-81.987984
486.328125	-81.082024
487.304688	-80.983521
488.281250	-80.026421
489.257812	-80.131760
490.234375	-80.690186
491.210938	-79.759941
492.187500	-79.896996
493.164062	-80.707077
494.140625	-80.050415
495.117188	-79.136307
496.093750	-79.422150
497.070312	-80.776283
498.046875	-79.971481
499.023438	-79.530190
500.000000	-79.340469
500.976562	-77.854645
501.953125	-80.542938
502.929688	-80.362724
503.906250	-79.218742
504.882812	-79.568558
505.859375	-80.074669
506.835938	-78.314217
507.812500	-78.034508
508.789062	-79.884171
509.765625	-78.452126
510.742188	-77.594315
511.718750	-79.946053
512.695312	-79.967850
513.671875	-79.557358
514.648438	-79.603767
515.625000	-78.331070
516.601562	-77.445435
517.578125	-78.753242
518.554688	-77.823219
519.531250	-77.065331
520.507812	-77.648987
521.484375	-77.324760
522.460938	-78.513412
523.437500	-77.804108
524.414062	-77.595543
525.390625	-77.251968
526.367188	-77.270035
527.343750	-76.388298
528.320312	-75.714066
529.296875	-75.829041
530.273438	-76.884865
531.250000	-76.080109
532.226562	-76.064110
533.203125	-75.354652
534.179688	-75.773788
535.156250	-75.397751
536.132812	-76.141884
537.109375	-75.265335
538.085938	-75.694420
539.062500	-76.363609
540.039062	-75.123573
541.015625	-74.263947
541.992188	-74.691536
542.968750	-75.049835
543.945312	-74.742401
544.921875	-74.945587
545.898438	-73.617950
546.875000	-73.924545
547.851562	-73.328857
548.828125	-72.819931
549.804688	-73.863953
550.781250	-74.646255
551.757812	-73.778214
552.734375	-72.968704
553.710938	-72.480186
554.687500	-72.432281
555.664062	-72.835823
556.640625	-71.977829
557.617188	-71.718376
558.593750	-71.722298
559.570312	-71.016258
560.546875	-71.403152
561.523438	-71.102814
562.500000	-69.239624
563.476562	-70.116463
564.453125	-69.963638
565.429688	-69.896980
566.406250	-70.131783
567.382812	-68.248947
568.359375	-70.318451
569.335938	-69.334595
570.312500	-69.031067
571.289062	-67.476585
572.265625	-67.688370
573.242188	-67.552094
574.218750	-67.064331
575.195312	-68.203682
576.171875	-67.274193
577.148438	-65.683029
578.125000	-65.952148
579.101562	-66.836075
580.078125	-65.443680
581.054688	-65.509445
582.031250	-66.761749
583.007812	-64.795433
583.984375	-65.789780
584.960938	-66.210136
585.937500	-65.515930
586.914062	-64.724472
587.890625	-65.430664
588.867188	-65.292686
589.843750	-66.582298
590.820312	-67.018517
591.796875	-66.707581
592.773438	-67.293549
593.750000	-67.868347
594.726562	-67.207413
595.703125	-69.113197
596.679688	-68.255043
597.656250	-69.211205
598.632812	-69.342041
599.609375	-68.229866
600.585938	-69.412704
601.562500	-70.407883
602.539062	-69.092285
603.515625	-70.946602
604.492188	-70.546700
605.468750	-70.523544
606.445312	-70.698494
607.421875	-70.282349
608.398438	-72.911316
609.375000	-70.563835
610.351562	-71.560310
611.328125	-72.772003
612.304688	-73.421577
613.281250	-71.728485
614.257812	-72.074158
615.234375	-73.815201
616.210938	-72.928467
617.187500	-72.881729
618.164062	-73.611092
619.140625	-73.771271
620.117188	-73.681007
621.093750	-75.286263
622.070312	-73.598068
623.046875	-75.353439
624.023438	-74.433746
625.000000	-73.980110
625.976562	-75.786446
626.953125	-75.982697
627.929688	-74.988800
628.906250	-74.682846
629.882812	-76.080002
630.859375	-74.578407
631.835938	-76.053848
632.812500	-75.949333
633.789062	-75.872528
634.765625	-74.404770
635.742188	-75.855270
636.718750	-75.947479
637.695312	-76.504631
638.671875	-77.386635
639.648438	-76.759750
640.625000	-76.798416
641.601562	-77.198540
642.578125	-76.964226
643.554688	-76.178635
644.531250	-77.498047
645.507812	-76.903252
646.484375	-77.693993
647.460938	-76.723747
648.437500	-78.060722
649.414062	-77.234634
650.390625	-77.339882
651.367188	-77.036583
652.343750	-77.515175
653.320312	-78.051704
654.296875	-76.946938
655.273438	-78.177475
656.250000	-77.143745
657.226562	-77.966621
658.203125	-77.714951
659.179688	-77.360756
660.156250	-77.678024
661.132812	-78.635002
662.109375	-78.407669
663.085938	-78.606827
664.062500	-78.351158
665.039062	-79.058281
666.015625	-79.528442
666.992188	-78.953880
667.968750	-77.756836
668.945312	-79.717392
669.921875	-77.801933
670.898438	-78.848488
671.875000	-79.190514
672.851562	-77.813225
673.828125	-78.335747
674.804688	-78.988182
675.781250	-79.213402
676.757812	-79.814857
677.734375	-78.826469
678.710938	-79.982574
679.687500	-79.114777
680.664062	-79.839859
681.640625	-78.630592
682.617188	-79.833382
683.593750	-78.997406
684.570312	-80.829681
685.546875	-79.368637
686.523438	-79.588448
687.500000	-80.339264
688.476562	-79.318253
689.453125	-80.163490
690.429688	-80.835999
691.406250	-79.455276
692.382812	-79.282913
693.359375	-80.998985
694.335938	-79.326073
695.312500	-80.088959
696.289062	-79.721390
697.265625	-79.590271
698.242188	-79.500778
699.218750	-80.254402
700.195312	-81.731339
701.171875	-80.326431
702.148438	-80.555374
703.125000	-79.533257
704.101562	-81.499901
705.078125	-81.922546
706.054688	-81.056953
707.031250	-80.882881
708.007812	-80.413307
708.984375	-79.507011
709.960938	-80.763145
710.937500	-80.522751
711.914062	-81.394661
712.890625	-79.638634
713.867188	-79.414230
714.843750	-80.532730
715.820312	-80.166222
716.796875	-80.167343
717.773438	-81.540565
718.750000	-80.290733
719.726562	-81.263374
720.703125	-81.194550
721.679688	-82.047348
722.656250	-80.552612
723.632812	-80.653603
724.609375	-80.365929
725.585938	-80.318306
726.562500	-80.603760
727.539062	-80.607368
728.515625	-80.515984
729.492188	-81.402534
730.468750	-80.906219
731.445312	-80.121323
732.421875	-80.856110
733.398438	-80.974365
734.375000	-81.297501
735.351562	-80.988358
736.328125	-81.176819
737.304688	-80.426704
738.281250	-80.214485
739.257812	-79.332863
740.234375	-79.534508
741.210938	-80.823128
742.187500	-80.339401
743.164062	-80.426186
744.140625	-79.416283
745.117188	-79.530724
746.093750	-80.444557
747.070312	-81.134079
748.046875	-81.015762
749.023438	-79.958305
750.000000	-80.163582
750.976562	-79.860046
751.953125	-80.759834
752.929688	-81.264122
753.906250	-79.399185
754.882812	-79.742836
755.859375	-79.882820
756.835938	-80.706970
757.812500	-78.785988
758.789062	-78.753242
759.765625	-78.945122
760.742188	-79.593201
761.718750	-79.570717
762.695312	-79.356628
763.671875	-80.303268
764.648438	-80.341858
765.625000	-79.421936
766.601562	-78.928032
767.578125	-80.097755
768.554688	-78.620857
769.531250	-78.864395
770.507812	-79.234016
771.484375	-79.666832
772.460938	-78.916626
773.437500	-79.714554
774.414062	-79.442772
775.390625	-79.547928
776.367188	-79.015091
777.343750	-80.069115
778.320312	-77.817429
779.296875	-79.465942
780.273438	-78.686104
781.250000	-77.856056
782.226562	-78.735512
783.203125	-78.673599
784.179688	-78.211899
785.156250	-77.949867
786.132812	-77.726234
787.109375	-77.717834
788.085938	-77.807961
789.062500	-78.118401
790.039062	-78.561440
791.015625	-78.175964
791.992188	-78.405334
792.968750	-78.422127
793.945312	-77.598862
794.921875	-78.148598
795.898438	-78.179764
796.875000	-77.883072
797.851562	-78.601227
798.828125	-77.825294
799.804688	-78.453362
800.781250	-77.763184
801.757812	-78.010780
802.734375	-77.788589
803.710938	-76.780952
804.687500	-76.519447
805.664062	-76.080780
806.640625	-77.433502
807.617188	-75.588326
808.593750	-75.751831
809.570312	-75.177231
810.546875	-76.269196
811.523438	-76.616119
812.500000	-75.675056
813.476562	-74.890831
814.453125	-75.259148
815.429688	-75.397758
816.406250	-75.422958
817.382812	-75.482979
818.359375	-75.584412
819.335938	-75.541046
820.312500	-76.994293
821.289062	-74.450638
822.265625	-73.613075
823.242188	-75.431290
824.218750	-75.246964
825.195312	-76.105339
826.171875	-73.692497
827.148438	-72.695740
828.125000	-73.324173
829.101562	-74.920433
830.078125	-74.126541
831.054688	-73.844879
832.031250	-73.432762
833.007812	-72.495659
833.984375	-72.252197
834.960938	-73.885994
835.937500	-73.545692
836.914062	-72.718140
837.890625	-71.782166
838.867188	-72.262497
839.843750	-71.413200
840.820312	-72.578606
841.796875	-72.537842
842.773438	-71.298668
843.750000	-71.989372
844.726562	-71.221466
845.703125	-69.664513
846.679688	-70.450874
847.656250	-70.521469
848.632812	-69.532021
849.609375	-69.726700
850.585938	-71.167404
851.562500	-71.568619
852.539062	-70.452950
853.515625	-69.890633
854.492188	-69.071167
855.468750	-68.683289
856.445312	-68.893906
857.421875	-68.759239
858.398438	-68.306168
859.375000	-68.662468
860.351562	-68.455566
861.328125	-66.161362
862.304688	-66.330711
863.281250	-65.360733
864.257812	-64.828621
865.234375	-66.080116
866.210938	-63.862160
867.187500	-65.597923
868.164062	-65.325401
869.140625	-64.488251
870.117188	-64.867935
871.093750	-64.388985
872.070312	-64.221573
873.046875	-63.974838
874.023438	-65.611366
875.000000	-64.044922
875.976562	-63.845425
876.953125	-63.798985
877.929688	-63.934776
878.906250	-64.446884
879.882812	-65.547173
880.859375	-64.377228
881.835938	-64.971832
882.812500	-65.511101
883.789062	-64.459709
884.765625	-64.250755
885.742188	-66.055954
886.718750	-65.407486
887.695312	-65.376816
888.671875	-66.279190
889.648438	-66.313454
890.625000	-67.122345
891.601562	-67.347801
892.578125	-67.915634
893.554688	-68.215607
894.531250	-67.799278
895.507812	-68.769341
896.484375	-67.877777
897.460938	-68.498688
898.437500	-70.301613
899.414062	-69.548347
900.390625	-69.581261
901.367188	-68.967949
902.343750	-69.594833
903.320312	-69.935463
904.296875	-70.692841
905.273438	-68.734474
906.250000	-69.983147
907.226562	-69.622192
908.203125	-70.979095
909.179688	-71.570068
910.156250	-70.353622
911.132812	-71.057938
912.109375	-71.002846
913.085938	-70.971458
914.062500	-72.511841
915.039062	-71.728012
916.015625	-72.377602
916.992188	-73.693382
917.968750	-73.258080
918.945312	-72.280342
919.921875	-73.181892
920.898438	-73.425049
921.875000	-74.513077
922.851562	-74.420746
923.828125	-74.911240
924.804688	-73.011101
925.781250	-73.789154
926.757812	-74.462273
927.734375	-73.658264
928.710938	-73.610092
929.687500	-74.333870
930.664062	-74.571365
931.640625	-73.262421
932.617188	-75.257126
933.593750	-75.531067
934.570312	-74.404655
935.546875	-75.208374
936.523438	-74.026703
937.500000	-73.323807
938.476562	-75.549805
939.453125	-76.005844
940.429688	-75.538704
941.406250	-75.560173
942.382812	-75.703026
943.359375	-74.623375
944.335938	-75.794922
945.312500	-74.669319
946.289062	-77.169289
947.265625	-75.717354
948.242188	-76.185165
949.218750	-75.294174
950.195312	-75.548470
951.171875	-76.453049
952.148438	-75.852531
953.125000	-75.241928
954.101562	-76.740906
955.078125	-77.076859
956.054688	-76.547409
957.031250	-75.868149
958.007812	-76.333664
958.984375	-77.444427
959.960938	-78.126862
960.937500	-75.443008
961.914062	-76.463943
962.890625	-76.036201
963.867188	-77.083611
964.843750	-77.173401
965.820312	-77.788826
966.796875	-78.092606
967.773438	-78.193626
968.750000	-76.855827
969.726562	-77.756287
970.703125	-77.162849
971.679688	-76.860657
972.656250	-77.502235
973.632812	-77.823837
974.609375	-79.245682
975.585938	-78.134987
976.562500	-78.084267
977.539062	-77.916260
978.515625	-77.957573
979.492188	-77.341133
980.468750	-77.067558
981.445312	-77.697510
982.421875	-79.055000
983.398438	-78.140022
984.375000	-77.905228
985.351562	-78.336365
986.328125	-77.840927
987.304688	-77.770958
988.281250	-77.860329
989.257812	-78.251953
990.234375	-79.123070
991.210938	-79.174622
992.187500	-78.377647
993.164062	-78.831512
994.140625	-78.311066
995.117188	-77.604271
996.093750	-76.468201
997.070312	-78.935745
998.046875	-78.559746
999.023438	-77.825073
1000.000000	-77.656548
1000.976562	-78.961563
1001.953125	-78.160095
1002.929688	-78.144287
1003.906250	-78.247795
1004.882812	-79.870216
1005.859375	-79.339485
1006.835938	-79.531631
1007.812500	-79.486214
1008.789062	-79.866989
1009.765625	-78.130585
1010.742188	-78.312599
1011.718750	-78.186928
1012.695312	-76.917030
1013.671875	-79.082138
1014.648438	-77.856308
1015.625000	-78.135323
1016.601562	-77.986214
1017.578125	-80.109062
1018.554688	-78.718048
1019.531250	-79.607254
1020.507812	-77.868759
1021.484375	-78.215424
1022.460938	-80.012917
1023.437500	-78.556824
1024.414062	-78.043022
1025.390625	-78.084000
1026.367188	-79.007057
1027.343750	-78.277031
1028.320312	-77.654549
1029.296875	-78.223679
1030.273438	-77.602318
1031.250000	-78.642502
1032.226562	-78.154427
1033.203125	-77.920021
1034.179688	-78.120277
1035.156250	-78.500252
1036.132812	-77.080452
1037.109375	-79.439720
1038.085938	-77.914291
1039.062500	-78.056541
1040.039062	-78.153076
1041.015625	-77.312019
1041.992188	-76.870110
1042.968750	-77.614090
1043.945312	-77.933678
1044.921875	-77.479530
1045.898438	-78.023376
1046.875000	-78.436470
1047.851562	-77.406235
1048.828125	-78.002701
1049.804688	-78.536758
1050.781250	-76.552132
1051.757812	-77.579681
1052.734375	-76.798302
1053.710938	-76.924026
1054.687500	-77.678230
1055.664062	-77.392532
1056.640625	-77.649757
1057.617188	-77.151199
1058.593750	-77.768288
1059.570312	-77.037750
1060.546875	-78.459175
1061.523438	-76.305298
1062.500000	-77.033958
1063.476562	-78.214142
1064.453125	-76.995575
1065.429688	-76.294136
1066.406250	-78.427147
1067.382812	-76.422539
1068.359375	-76.295662
1069.335938	-76.733841
1070.312500	-76.783203
1071.289062	-77.238457
1072.265625	-77.439369
1073.242188	-77.031021
1074.218750	-77.385406
1075.195312	-76.199326
1076.171875	-77.151894
1077.148438	-76.736328
1078.125000	-75.866592
1079.101562	-75.823593
1080.078125	-74.568001
1081.054688	-76.935127
1082.031250	-76.665154
1083.007812	-75.376511
1083.984375	-76.062675
1084.960938	-76.574387
1085.937500	-75.963646
1086.914062	-75.035378
1087.890625	-76.379951
1088.867188	-76.723747
1089.843750	-74.221039
1090.820312	-73.487854
1091.796875	-74.919914
1092.773438	-75.382729
1093.750000	-76.568024
1094.726562	-75.042671
1095.703125	-73.039680
1096.679688	-74.655563
1097.656250	-74.822067
1098.632812	-75.274788
1099.609375	-74.452469
1100.585938	-75.170937
1101.562500	-74.216476
1102.539062	-73.852142
1103.515625	-73.862450
1104.492188	-75.119453
1105.468750	-73.046844
1106.445312	-73.289902
1107.421875	-73.006317
1108.398438	-73.150185
1109.375000	-73.001114
1110.351562	-71.963661
1111.328125	-73.449028
1112.304688	-71.997063
1113.281250	-72.448746
1114.257812	-71.694580
1115.234375	-71.839470
1116.210938	-72.321678
1117.187500	-72.346222
1118.164062	-73.676247
1119.140625	-73.294395
1120.117188	-70.941208
1121.093750	-69.872925
1122.070312	-70.948143
1123.046875	-71.560257
1124.023438	-69.860214
1125.000000	-70.191704
1125.976562	-70.291130
1126.953125	-69.377487
1127.929688	-70.935242
1128.906250	-70.251633
1129.882812	-70.743530
1130.859375	-71.037964
1131.835938	-70.304398
1132.812500	-69.908379
1133.789062	-68.545982
1134.765625	-70.266174
1135.742188	-67.212013
1136.718750	-68.524834
1137.695312	-69.405220
1138.671875	-67.268684
1139.648438	-67.640480
1140.625000	-67.843628
1141.601562	-67.848801
1142.578125	-66.499687
1143.554688	-66.722557
1144.531250	-67.292801
1145.507812	-66.773949
1146.484375	-66.501846
1147.460938	-66.076775
1148.437500	-65.126991
1149.414062	-65.473549
1150.390625	-65.900162
1151.367188	-65.540047
1152.343750	-65.062141
1153.320312	-63.658104
1154.296875	-63.869312
1155.273438	-63.106049
1156.250000	-62.629524
1157.226562	-62.649162
1158.203125	-63.350990
1159.179688	-62.897755
1160.156250	-62.768791
1161.132812	-62.109219
1162.109375	-63.340000
1163.085938	-62.789593
1164.062500	-63.881355
1165.039062	-63.000423
1166.015625	-63.659916
1166.992188	-63.568455
1167.968750	-63.070152
1168.945312	-64.710396
1169.921875	-63.056244
1170.898438	-64.667656
1171.875000	-63.702789
1172.851562	-63.336136
1173.828125	-64.079453
1174.804688	-64.182938
1175.781250	-64.227043
1176.757812	-63.780235
1177.734375	-65.261269
1178.710938	-66.671112
1179.687500	-65.073898
1180.664062	-64.924774
1181.640625	-66.242821
1182.617188	-66.332985
1183.593750	-66.600822
1184.570312	-67.027420
1185.546875	-69.191124
1186.523438	-69.077560
1187.500000	-67.900078
1188.476562	-67.907768
1189.453125	-67.671188
1190.429688	-69.024315
1191.406250	-68.973625
1192.382812	-68.468712
1193.359375	-68.992180
1194.335938	-70.289131
1195.312500	-68.878204
1196.289062	-70.108788
1197.265625	-70.117638
1198.242188	-70.210007
1199.218750	-70.850327
1200.195312	-69.935493
1201.171875	-70.302147
1202.148438	-71.310486
1203.125000	-70.652382
1204.101562	-70.609756
1205.078125	-70.846252
1206.054688	-70.805809
1207.031250	-72.213013
1208.007812	-73.308006
1208.984375	-72.864441
1209.960938	-72.065193
1210.937500	-72.306000
1211.914062	-72.911064
1212.890625	-71.605362
1213.867188	-73.348938
1214.843750	-72.597496
1215.820312	-72.865227
1216.796875	-72.960159
1217.773438	-72.808647
1218.750000	-73.042336
1219.726562	-73.008415
