Frequency (Hz)	Level (dB)
283.203125	-69.219238
284.179688	-71.257103
285.156250	-70.703140
286.132812	-72.156105
287.109375	-71.839996
288.085938	-70.760941
289.062500	-71.866844
290.039062	-73.803764
291.015625	-75.381027
291.992188	-73.444221
292.968750	-73.309189
293.945312	-74.270409
294.921875	-76.093140
295.898438	-74.527420
296.875000	-74.617828
297.851562	-78.567383
298.828125	-76.800621
299.804688	-77.053574
300.781250	-77.235634
301.757812	-78.177536
302.734375	-75.469467
303.710938	-76.383369
304.687500	-76.489006
305.664062	-76.325424
306.640625	-76.956429
307.617188	-77.352493
308.593750	-77.841125
309.570312	-75.754349
310.546875	-77.762497
311.523438	-78.751625
312.500000	-76.731583
313.476562	-77.298203
314.453125	-77.988029
315.429688	-76.726189
316.406250	-79.974548
317.382812	-79.160637
318.359375	-77.974327
319.335938	-80.102921
320.312500	-80.197906
321.289062	-80.629845
322.265625	-78.098892
323.242188	-79.352562
324.218750	-78.092865
325.195312	-79.621437
326.171875	-79.621178
327.148438	-79.217964
328.125000	-79.743286
329.101562	-77.632462
330.078125	-78.855400
331.054688	-79.861427
332.031250	-78.608635
333.007812	-78.522980
333.984375	-78.777161
334.960938	-79.125572
335.937500	-79.536949
336.914062	-80.294144
337.890625	-80.127449
338.867188	-78.867218
339.843750	-80.390060
340.820312	-78.771957
341.796875	-79.649529
342.773438	-79.537140
343.750000	-78.247086
344.726562	-79.892792
345.703125	-79.804260
346.679688	-78.860146
347.656250	-80.186661
348.632812	-78.678108
349.609375	-78.715073
350.585938	-79.504707
351.562500	-76.326492
352.539062	-78.139290
353.515625	-78.856239
354.492188	-77.343254
355.468750	-78.158661
356.445312	-78.374481
357.421875	-77.919701
358.398438	-79.237000
359.375000	-79.011795
360.351562	-78.271400
361.328125	-78.925323
362.304688	-78.249146
363.281250	-78.678848
364.257812	-77.876053
365.234375	-78.206734
366.210938	-78.816643
367.187500	-77.208763
368.164062	-79.034973
369.140625	-75.819550
370.117188	-77.737961
371.093750	-77.346313
372.070312	-76.974747
373.046875	-75.464958
374.023438	-76.085869
375.000000	-75.930710
375.976562	-76.107430
376.953125	-75.119347
377.929688	-76.720329
378.906250	-74.968849
379.882812	-73.577019
380.859375	-75.450119
381.835938	-74.682556
382.812500	-73.767403
383.789062	-74.420395
384.765625	-74.108414
385.742188	-73.684502
386.718750	-73.592880
387.695312	-73.990425
388.671875	-72.636223
389.648438	-72.442375
390.625000	-70.831055
391.601562	-72.124809
392.578125	-72.578552
393.554688	-71.359970
394.531250	-71.469215
395.507812	-70.515060
396.484375	-70.824303
397.460938	-69.849380
398.437500	-69.415924
399.414062	-66.228683
400.390625	-68.218697
401.367188	-68.708199
402.343750	-68.720222
403.320312	-66.105331
404.296875	-65.410385
405.273438	-68.542526
406.250000	-67.610771
407.226562	-65.577385
408.203125	-66.822113
409.179688	-66.639809
410.156250	-66.924927
411.132812	-66.330940
412.109375	-65.982292
413.085938	-65.119240
414.062500	-67.038704
415.039062	-67.887878
416.015625	-67.206955
416.992188	-67.822273
417.968750	-69.434860
418.945312	-69.232765
419.921875	-69.460709
