Frequency (Hz)	Level (dB)
283.203125	-66.092239
284.179688	-68.052750
285.156250	-67.570877
286.132812	-68.803551
287.109375	-68.274269
288.085938	-67.140968
289.062500	-67.938499
290.039062	-69.662018
291.015625	-70.701294
291.992188	-68.994568
292.968750	-68.144188
293.945312	-69.648476
294.921875	-70.402641
295.898438	-69.774368
296.875000	-70.188805
297.851562	-73.275162
298.828125	-71.556274
299.804688	-71.908348
300.781250	-72.435776
301.757812	-73.689407
302.734375	-71.087700
303.710938	-72.292847
304.687500	-71.672501
305.664062	-71.470657
306.640625	-71.424194
307.617188	-72.679581
308.593750	-73.390915
309.570312	-71.353874
310.546875	-72.962639
311.523438	-74.041885
312.500000	-71.944656
313.476562	-71.950661
314.453125	-72.839455
315.429688	-72.327690
316.406250	-75.151970
317.382812	-74.319466
318.359375	-73.287628
319.335938	-75.910538
320.312500	-75.477959
321.289062	-76.044647
322.265625	-73.775490
323.242188	-75.448647
324.218750	-74.680283
325.195312	-75.379288
326.171875	-74.991165
327.148438	-74.345932
328.125000	-74.893486
329.101562	-74.013451
330.078125	-74.514816
331.054688	-75.614403
332.031250	-74.698395
333.007812	-74.357605
333.984375	-74.230080
334.960938	-75.654625
335.937500	-75.751785
336.914062	-76.490616
337.890625	-76.321571
338.867188	-75.600372
339.843750	-77.099152
340.820312	-75.203239
341.796875	-76.681580
342.773438	-76.163933
343.750000	-74.927231
344.726562	-77.358879
345.703125	-76.681801
346.679688	-75.898605
347.656250	-77.282623
348.632812	-76.685928
349.609375	-76.433815
350.585938	-77.815460
351.562500	-73.877060
352.539062	-75.382278
353.515625	-76.470215
354.492188	-75.296364
355.468750	-75.253326
356.445312	-76.089874
357.421875	-75.703094
358.398438	-77.795311
359.375000	-76.189034
360.351562	-76.996017
361.328125	-77.452515
362.304688	-76.465446
363.281250	-77.162552
364.257812	-77.647018
365.234375	-77.229240
366.210938	-78.756699
367.187500	-76.655502
368.164062	-79.001755
369.140625	-75.629356
370.117188	-78.014687
371.093750	-77.925491
372.070312	-77.685638
373.046875	-76.397057
374.023438	-76.315239
375.000000	-77.042625
375.976562	-78.036980
376.953125	-77.256248
377.929688	-78.274040
378.906250	-77.017303
379.882812	-76.198166
380.859375	-77.863701
381.835938	-77.723793
382.812500	-76.603905
383.789062	-77.619347
384.765625	-77.638268
385.742188	-77.729454
386.718750	-77.506287
387.695312	-78.766953
388.671875	-76.929543
389.648438	-77.357872
390.625000	-76.131104
391.601562	-78.054764
392.578125	-78.446159
393.554688	-77.214958
394.531250	-78.989441
395.507812	-77.653137
396.484375	-78.750580
397.460938	-78.382011
398.437500	-77.991379
399.414062	-75.246399
400.390625	-78.439766
401.367188	-78.718025
402.343750	-78.482765
403.320312	-76.537804
404.296875	-76.304237
405.273438	-79.252258
406.250000	-78.039566
407.226562	-77.062592
408.203125	-77.959351
409.179688	-77.742111
410.156250	-77.830444
411.132812	-77.335976
412.109375	-76.633522
413.085938	-75.887695
414.062500	-76.801277
415.039062	-77.155701
416.015625	-76.642632
416.992188	-76.883011
417.968750	-78.254631
418.945312	-77.372414
419.921875	-77.731522
420.898438	-75.549820
421.875000	-77.507164
422.851562	-76.466599
423.828125	-78.133026
424.804688	-75.493500
425.781250	-78.079498
426.757812	-76.704124
427.734375	-77.280441
428.710938	-77.515984
429.687500	-76.646660
430.664062	-76.061607
431.640625	-74.946236
432.617188	-76.292244
433.593750	-76.628311
434.570312	-78.550728
435.546875	-76.546638
436.523438	-78.314911
437.500000	-74.647141
438.476562	-76.131531
439.453125	-75.101562
440.429688	-77.133270
441.406250	-77.427162
442.382812	-78.551727
443.359375	-76.589378
444.335938	-76.283340
445.312500	-76.406311
446.289062	-77.205269
447.265625	-74.396729
448.242188	-75.223770
449.218750	-74.981224
450.195312	-75.265778
451.171875	-74.377129
452.148438	-75.949303
453.125000	-76.678368
454.101562	-74.510567
455.078125	-75.137802
456.054688	-75.238869
457.031250	-75.256752
458.007812	-75.337006
458.984375	-75.228767
459.960938	-75.235458
460.937500	-72.047508
461.914062	-73.378555
462.890625	-74.501259
463.867188	-74.426735
464.843750	-75.217377
465.820312	-73.824081
466.796875	-73.482750
467.773438	-74.583771
468.750000	-74.013573
469.726562	-73.971420
470.703125	-72.969055
471.679688	-74.876335
472.656250	-72.216316
473.632812	-73.384636
474.609375	-73.673569
475.585938	-73.483704
476.562500	-73.960617
477.539062	-73.854881
478.515625	-73.911148
479.492188	-73.912376
480.468750	-71.962486
481.445312	-72.585716
482.421875	-74.606422
483.398438	-71.230049
484.375000	-71.240547
485.351562	-71.468048
486.328125	-71.602348
487.304688	-71.910995
488.281250	-71.953255
489.257812	-69.643593
490.234375	-70.348328
491.210938	-70.068924
492.187500	-72.156219
493.164062	-69.726143
494.140625	-69.756203
495.117188	-70.271286
496.093750	-69.685371
497.070312	-70.839760
498.046875	-70.667023
499.023438	-70.584221
500.000000	-71.539337
500.976562	-67.090553
501.953125	-67.122643
502.929688	-69.095337
503.906250	-69.006241
504.882812	-68.984528
505.859375	-67.597221
506.835938	-67.954086
507.812500	-67.383545
508.789062	-67.743126
509.765625	-67.440201
510.742188	-66.760155
511.718750	-65.329689
512.695312	-64.784035
513.671875	-66.696068
514.648438	-65.927223
515.625000	-65.407639
516.601562	-65.698380
517.578125	-65.065399
518.554688	-64.028305
519.531250	-64.652794
520.507812	-64.119125
521.484375	-63.291092
522.460938	-64.018318
523.437500	-63.403488
524.414062	-65.472977
525.390625	-65.010902
526.367188	-63.713482
527.343750	-63.331810
528.320312	-63.415676
529.296875	-62.327385
530.273438	-64.908165
531.250000	-63.173820
532.226562	-63.610062
533.203125	-63.905197
534.179688	-64.064659
535.156250	-63.281948
536.132812	-62.638023
537.109375	-63.907547
538.085938	-64.888657
539.062500	-63.351974
540.039062	-64.880699
541.015625	-63.174015
541.992188	-65.055695
542.968750	-65.489113
543.945312	-64.462303
544.921875	-66.261360
545.898438	-65.263138
546.875000	-65.053261
547.851562	-64.569992
548.828125	-66.241455
549.804688	-66.815338
550.781250	-67.961441
551.757812	-67.652725
