Frequency (Hz)	Level (dB)
283.203125	-70.904114
284.179688	-71.230850
285.156250	-72.798279
286.132812	-72.367996
287.109375	-72.712585
288.085938	-71.904343
289.062500	-71.199791
290.039062	-72.599052
291.015625	-74.140953
291.992188	-73.953766
292.968750	-73.996300
293.945312	-73.903748
294.921875	-74.533295
295.898438	-75.026939
296.875000	-74.952850
297.851562	-74.650726
298.828125	-74.130402
299.804688	-74.806114
300.781250	-75.783897
301.757812	-75.604721
302.734375	-74.011505
303.710938	-74.683868
304.687500	-75.512787
305.664062	-75.775833
306.640625	-76.178650
307.617188	-76.300407
308.593750	-75.591377
309.570312	-76.535301
310.546875	-76.296234
311.523438	-77.246002
312.500000	-76.045853
313.476562	-76.695679
314.453125	-77.232574
315.429688	-76.520187
316.406250	-76.415535
317.382812	-77.491348
318.359375	-76.808784
319.335938	-76.921173
320.312500	-77.394218
321.289062	-78.352715
322.265625	-78.109711
323.242188	-77.806854
324.218750	-78.960571
325.195312	-78.492218
326.171875	-78.407883
327.148438	-79.180275
328.125000	-77.465973
329.101562	-79.982140
330.078125	-79.460632
331.054688	-79.342186
332.031250	-78.042145
333.007812	-79.024147
333.984375	-78.678741
334.960938	-79.744659
335.937500	-78.919052
336.914062	-80.196037
337.890625	-78.573189
338.867188	-78.230621
339.843750	-79.343269
340.820312	-79.392609
341.796875	-80.353600
342.773438	-80.217072
343.750000	-78.803482
344.726562	-78.948143
345.703125	-79.381439
346.679688	-79.604370
347.656250	-78.960075
348.632812	-80.030098
349.609375	-79.951591
350.585938	-79.576904
351.562500	-79.525002
352.539062	-81.296791
353.515625	-80.314041
354.492188	-81.586174
355.468750	-79.853119
356.445312	-80.549362
357.421875	-79.641098
358.398438	-80.222000
359.375000	-80.646286
360.351562	-80.925323
361.328125	-80.962540
362.304688	-80.244934
363.281250	-80.137344
364.257812	-80.524323
365.234375	-80.614220
366.210938	-81.153687
367.187500	-80.498718
368.164062	-79.844879
369.140625	-81.389771
370.117188	-80.893593
371.093750	-80.461174
372.070312	-79.831863
373.046875	-81.045242
374.023438	-80.684265
375.000000	-81.586967
375.976562	-80.109901
376.953125	-81.919556
377.929688	-81.027458
378.906250	-81.114136
379.882812	-80.890556
380.859375	-81.441414
381.835938	-82.091850
382.812500	-82.437294
383.789062	-81.004158
384.765625	-81.143379
385.742188	-82.491096
386.718750	-82.193604
387.695312	-80.703667
388.671875	-82.032600
389.648438	-81.978523
390.625000	-80.792442
391.601562	-82.510460
392.578125	-81.472549
393.554688	-80.752029
394.531250	-81.617241
395.507812	-80.806343
396.484375	-80.975792
397.460938	-81.487701
398.437500	-81.135307
399.414062	-81.211189
400.390625	-81.682854
401.367188	-81.640274
402.343750	-82.442825
403.320312	-81.507561
404.296875	-80.490921
405.273438	-81.281067
406.250000	-82.196220
407.226562	-81.853767
408.203125	-80.992767
409.179688	-81.122337
410.156250	-82.177582
411.132812	-81.167191
412.109375	-81.061798
413.085938	-81.864120
414.062500	-80.625359
415.039062	-81.895744
416.015625	-80.756081
416.992188	-81.933151
417.968750	-80.941948
418.945312	-81.075157
419.921875	-82.513245
420.898438	-80.724442
421.875000	-80.716568
422.851562	-79.952347
423.828125	-81.300819
424.804688	-80.125748
425.781250	-79.791985
426.757812	-81.503647
427.734375	-81.479301
428.710938	-81.488937
429.687500	-80.966408
430.664062	-81.303986
431.640625	-80.258118
432.617188	-80.853783
433.593750	-79.985695
434.570312	-79.684380
435.546875	-81.364655
436.523438	-80.698112
437.500000	-79.236862
438.476562	-80.525513
439.453125	-80.168076
440.429688	-81.486259
441.406250	-79.585571
442.382812	-79.459045
443.359375	-80.413132
444.335938	-79.991714
445.312500	-79.324142
446.289062	-79.559135
447.265625	-79.327805
448.242188	-79.084114
449.218750	-80.026382
450.195312	-79.659332
451.171875	-79.504295
452.148438	-79.113373
453.125000	-79.329796
454.101562	-78.412415
455.078125	-78.748352
456.054688	-78.554375
457.031250	-78.563545
458.007812	-79.508499
458.984375	-79.590790
459.960938	-78.558426
460.937500	-77.966026
461.914062	-77.738251
462.890625	-77.956635
463.867188	-78.292076
464.843750	-78.168747
465.820312	-77.412872
466.796875	-77.850105
467.773438	-78.102905
468.750000	-78.092186
469.726562	-77.515549
470.703125	-77.158302
471.679688	-77.671181
472.656250	-77.055641
473.632812	-79.102127
474.609375	-76.374931
475.585938	-77.519524
476.562500	-76.942520
477.539062	-76.812317
478.515625	-77.210381
479.492188	-76.425797
480.468750	-77.416412
481.445312	-76.478302
482.421875	-75.192657
483.398438	-74.864845
484.375000	-74.708366
485.351562	-76.990379
486.328125	-76.302208
487.304688	-75.688866
488.281250	-74.619690
489.257812	-74.789284
490.234375	-74.939850
491.210938	-74.041801
492.187500	-74.242973
493.164062	-74.986366
494.140625	-73.984726
495.117188	-73.340530
496.093750	-72.987801
497.070312	-74.265671
498.046875	-73.833092
499.023438	-73.008247
500.000000	-72.326027
500.976562	-71.187874
501.953125	-73.617538
502.929688	-73.460175
503.906250	-71.906158
504.882812	-72.151245
505.859375	-72.410774
506.835938	-70.875595
507.812500	-70.378754
508.789062	-72.036469
509.765625	-70.470085
510.742188	-69.206459
511.718750	-71.500900
512.695312	-71.385094
513.671875	-70.851379
514.648438	-70.828529
515.625000	-69.505081
516.601562	-68.400955
517.578125	-69.083168
518.554688	-68.298553
519.531250	-67.213684
520.507812	-67.865646
521.484375	-67.390373
522.460938	-68.504692
523.437500	-67.801483
524.414062	-67.184921
525.390625	-67.369171
526.367188	-66.962021
527.343750	-66.110458
528.320312	-65.614326
529.296875	-65.503990
530.273438	-67.132385
531.250000	-66.585075
532.226562	-66.230042
533.203125	-65.918678
534.179688	-66.225029
535.156250	-66.341179
536.132812	-67.108345
537.109375	-66.387085
538.085938	-67.659363
539.062500	-68.514801
540.039062	-67.388260
541.015625	-66.802856
541.992188	-67.638451
542.968750	-68.713760
543.945312	-68.839874
544.921875	-69.414841
545.898438	-68.390488
546.875000	-68.970657
547.851562	-68.991989
548.828125	-68.935951
549.804688	-70.234207
550.781250	-71.665695
551.757812	-71.171638
552.734375	-70.760605
553.710938	-70.528114
554.687500	-71.101540
555.664062	-72.029228
556.640625	-71.473030
557.617188	-72.724297
